Entry,verb,stemlem,Positiv,Negativ,Strong,Weak,Active,Passive,Defined,commonness
ASSIST#2,assist,assist,Positiv,,Strong,,Active,,|,
ASSOCIATE#2,associate,associ,Positiv,,,,Active,,"| 59% verb: To make a connection between things, to mix with socially",59.0
ASSUME#2,assume,assum,,,,,,Passive,"| 56% verb: To take for granted, suppose, postulate",56.0
ASSURE#1,assure,assur,Positiv,,Strong,,,,"| 50% verb: To guarantee, by virtue of some action, that something will come about",50.0
ASTONISH#2,astonish,astonish,,,,,,,|,
ASTOUND,astound,astound,Positiv,,Strong,,Active,,|,
ATE,ate,eat,,,,,Active,,"| verb: Past tense of eat, consumed.",
ATROPHY,atrophy,atrophi,,Negativ,,Weak,,Passive,|,
ATTACH,attach,attach,,,,,Active,,|,
ATTACK#2,attack,attack,,Negativ,Strong,,Active,,| 34% verb: To assault (physically or figuratively),34.0
ATTAIN,attain,attain,Positiv,,Strong,,Active,,|,
ATTEMPT#1,attempt,attempt,,,,,Active,,"| 38% verb: To try, make an effort",38.0
ATTEND#1,attend,attend,Positiv,,,,,,| 83% verb: To be present at.,83.0
ATTEST,attest,attest,,,,,,Passive,|,
ATTRACT,attract,attract,Positiv,,Strong,,,,|,
ATTRIBUTE#2,attribute,attribut,,,,,,,|,
AUGMENT,augment,augment,Positiv,,,,Active,,|,
AUTHORIZE#2,authorize,author,,,Strong,,Active,,|,
AVAIL,avail,avail,,,Strong,,,Passive,|,
AVERAGE#3,average,averag,,,,,,,| 3% verb: To reduce to or result in a mean,3.0
AVERT,avert,avert,,Negativ,,Weak,,Passive,|,
AVOID,avoid,avoid,,Negativ,,Weak,,Passive,"| verb: To keep away from, keep clear of",
AWAIT,await,await,,,,,,Passive,|,
AWAKE,awake,awak,,,,,,,|,
AWAKEN,awaken,awaken,,,,,,,,
AWARD#2,award,award,Positiv,,Strong,,Active,,|,
AWAY#2,away,away,,,,,,,"| 9% idiom-verb: 'get away'--avoid, escape",9.0
AX,ax,ax,,Negativ,,,Active,,|,
BABBLE,babble,babbl,,Negativ,,,Active,,|,
BAFFLE,baffle,baffl,,Negativ,,,,,|,
BAG#2,bag,bag,,,,,,,"| 3% verb-adj: To sag (1), sagging (0); load, put in a sack (0)",3.0
BAIL,bail,bail,,Negativ,,Weak,Active,,|,
BAIT,bait,bait,,Negativ,,,Active,,|,
BAKE,bake,bake,,,,,,,|,
BALANCE#2,balance,balanc,,,Strong,,,,|,
BALK,balk,balk,,Negativ,,Weak,,Passive,|,
BAND#2,band,band,,,Strong,,,,| 3% verb: To group together,3.0
BANISH#2,banish,banish,,Negativ,Strong,,Active,,|,
BANTER#2,banter,banter,,,,Weak,,,|,
BAPTIZE,baptize,baptiz,Positiv,,,,Active,,|,
BAR#4,bar,bar,,Negativ,Strong,,Active,,| 19% verb: To obstruct or exclude,19.0
BARGAIN,bargain,bargain,Positiv,,,,Active,,|,
BARK#2,bark,bark,,,,,,,|,
BASE#2,base,base,,,Strong,,,,"| 78% verb: To establish, ground, provide with a foundation or rationale,  to have as foundation - ""based on"".",78.0
BAT#2,bat,bat,,,,,,,|,
BATHE,bathe,bath,,,,,,,|,
BATHROOM#2,bathroom,bathroom,,,,,,,"| 32% verb: ""To go to the bathroom""",32.0
BATTLE#2,battle,battl,,Negativ,Strong,,Active,,| 14% verb: To engage in a fight,14.0
BEAM#2,beam,beam,,,,,,,|,
BEAR#2,bear,bear,,,Strong,,,,"| 21% verb: To carry, show, wear, conduct oneself, render, afford, support,  sustain, endure",21.0
BEAT#2,beat,beat,,Negativ,Strong,,Active,,"| 88% verb: To strike repeatedly, defeat or outperform (6)",88.0
BEAUTIFY,beautify,beautifi,Positiv,,Strong,,Active,,|,
BECAME,became,becom,,,,,,Passive,"| verb: Came, changed or grew to be.",
BECKON,beckon,beckon,,,,,Active,,|,
BECOME,become,becom,,,,,,Passive,| verb: To come or grow to be,
BED#3,bed,bed,,,,,,,"| 18% verb: To go or put ""to bed""--to retire, go to sleep, get someone ready  for sleep (3)",18.0
BEEN#1,been,be,,,,,,Passive,"| 47% verb: Past participle of be, used as copula",47.0
BEFIT,befit,befit,Positiv,,,,,Passive,|,
BEFRIEND,befriend,befriend,Positiv,,,,Active,,|,
BEG,beg,beg,,Negativ,,Weak,Active,,|,
BEGAN,began,begin,,,,,Active,,"| verb: Started, commenced, took the first step.",
BEGIN#1,begin,begin,,,,,Active,,"| 73% verb: To start, commence, embark upon, initiate",73.0
BEGUN,begun,begin,,,,,Active,,"| verb: Past participle of begin--commenced, started",
BEHAVE,behave,behav,,,,,Active,,|,
BEING#1,being,be,,,,,,Passive,| 88% verb: Present participle of 'be',88.0
BELIE,belie,beli,,Negativ,,,Active,,|,
BELIEVE#1,believe,believ,,,,,,Passive,| 68% verb: To be of the opinion that--to think or consider,68.0
BELITTLE,belittle,belittl,,Negativ,,,,,|,
BELONG#1,belong,belong,,,,Weak,,Passive,| 98% verb: To be in relation to something as owned or as a member or inhabitant,98.0
BELT#2,belt,belt,,Negativ,Strong,,Active,,|,
BEND#2,bend,bend,,,,Weak,,Passive,|,
BENEFIT#2,benefit,benefit,Positiv,,Strong,,,,"| 21% verb: Gain, do good for, to",21.0
BEQUEATH,bequeath,bequeath,Positiv,,,,Active,,|,
BERATE,berate,berat,,,,,,,,
BEREAVE,bereave,bereav,,Negativ,,,,,|,
BESEECH,beseech,beseech,,Negativ,,Weak,Active,,|,
BESIEGE,besiege,besieg,,Negativ,,,Active,,|,
BESTOW,bestow,bestow,Positiv,,Strong,,Active,,|,
BET#2,bet,bet,,,,,Active,,| 71% verb: To wager or risk,71.0
BETRAY,betray,betray,,Negativ,,,,,|,
BETROTH,betroth,betroth,Positiv,,,,Active,,|,
BETTER#2,better,better,Positiv,,,,Active,,| 2% verb: To improve,2.0
BEWARE,beware,bewar,,Negativ,Strong,,,,|,
BEWILDER,bewilder,bewild,,Negativ,,,,,|,
BID#2,bid,bid,,,,,Active,,|,
BIRTH#2,birth,birth,,,,,,,"| 33% verb-idiom: ""Give birth""--to bear, or to create, bring about",33.0
BIT#2,bit,bit,,Negativ,,,Active,,"| 7% verb: Past tense of ""bite""",7.0
BITE#2,bite,bite,,Negativ,,,Active,,"| 74% verb: To grip, injure or cut off with or as with teeth",74.0
BLACK#3,black,black,,,,,,,"| 0% verb-idiom: ""Black out""--to lose consciousness",0.0
BLACKMAIL,blackmail,blackmail,,Negativ,,,Active,,|,
BLAME#2,blame,blame,,Negativ,,,,,"| 75% verb: To hold responsible for failure, to censure",75.0
BLAST#2,blast,blast,,Negativ,Strong,,Active,,|,
BLEED#2,bleed,blee,,,,Weak,,Passive,|,
BLESS#1,bless,bless,Positiv,,,,,Passive,"| 32% verb: To consecrate, favor or endow, make happy or prosperous",32.0
BLIND#2,blind,blind,,Negativ,,,,,| 10% verb: To deprive of sight,10.0
BLINK#2,blink,blink,,,,,,Passive,|,
BLOCK#2,block,block,,Negativ,Strong,,Active,,| 28% verb: To thwart or barricade,28.0
BLOOM,bloom,bloom,Positiv,,,,Active,,|,
BLOSSOM,blossom,blossom,Positiv,,,,Active,,|,
BLOW#2,blow,blow,,,Strong,,Active,,"| 60% verb: To propel as with wind, to set air in motion; fellation",60.0
BLOW#3,blow,blow,,Negativ,Strong,,Active,,"| 17% verb: ""Blow up,"" ""blow out""--to explode physically or Emotionally",17.0
BLUR,blur,blur,,Negativ,,Weak,Active,,|,
BLURT,blurt,blurt,,Negativ,,,Active,,|,
BOARD#4,board,board,,,,,,,| 13% verb-adj: Into or on a ship or other carrier,13.0
BOAST,boast,boast,,Negativ,,,Active,,|,
BOIL#2,boil,boil,,,,,Active,,|,
BOLSTER,bolster,bolster,Positiv,,Strong,,Active,,|,
BOLT,bolt,bolt,,Negativ,,,Active,,|,
BOMB#2,bomb,bomb,,Negativ,Strong,,Active,,|,
BOMBARD,bombard,bombard,,Negativ,,,Active,,|,
BOOST#2,boost,boost,Positiv,,Strong,,Active,,|,
BOOT,boot,boot,,Negativ,,,Active,,|,
BORDER#2,border,border,,,,,,,|,
BORE#3,bore,bear,,,Strong,,Active,,"| 28% verb: Carried, endured; manifested (3); drilled a hole (0); caused  loss of interest (2); exerted pressure or effort (1); approached (0)",28.0
BORNE,borne,bear,,,,,,,,
BORROW#2,borrow,borrow,,,,Weak,,,|,
BOTHER#1,bother,bother,,Negativ,,,Active,,"| 91% verb: To give trouble to, annoy, worry--to bewilder, confuse--to be  troubled, etc.",91.0
BOUGHT,bought,buy,,,,,Active,,"| verb: Past tense of ""buy"" - purchased",
BOUNCE,bounce,bounc,,,,,Active,,|,
BOUND#2,bound,bind,,,Strong,,,,"| 10% verb: Past tense of ""bind""",10.0
BOW#2,bow,bow,,,,Weak,,,"| 6% verb: To bend forward, usually in formal acknowledgement, submission or greeting",6.0
BOWL#2,bowl,bowl,,,,,,,|,
BOYCOTT#2,boycott,boycott,,,,,Active,,|,
BRACE#2,brace,brace,,,Strong,,,,|,
BRAG,brag,brag,,Negativ,,,Active,,|,
BRANCH#3,branch,branch,,,,,Active,,"| 0% verb: To put forth or spread in branches, expand, extend",0.0
BRAND#2,brand,brand,,,,,,,|,
BRANDISH,brandish,brandish,,Negativ,Strong,,Active,,|,
BRAWL,brawl,brawl,,Negativ,,,Active,,|,
BREACH,breach,breach,,Negativ,Strong,,Active,,|,
BREAK#1,break,break,,Negativ,Strong,,Active,,"| 75% verb: To fracture, split, stop or cause to stop functioning, cause  a division or change, enter forcibly, escape, begin suddenly, interrupt, etc.",75.0
BREAKDOWN,breakdown,breakdown,,Negativ,,Weak,,Passive,|,
BREATH#2,breath,breath,,,,,,,|,
BREED#2,breed,breed,,,,,Active,,|,
BRIBE,bribe,bribe,,Negativ,,,,,|,
BRIDGE#3,bridge,bridg,,,Strong,,,,| 6% verb: To span or connect any two separated things or points,6.0
BRING#1,bring,bring,,,,,Active,,"| 69% verb: To transport, conduct, carry; to cause to come into being or  into a particular condition (much less frequent)",69.0
BRISTLE,bristle,bristl,,Negativ,,,,Passive,|,
BROADCAST#2,broadcast,broadcast,,,,,,,|,
BROADEN,broaden,broaden,,,Strong,,,,|,
BROKE#1,broke,break,,,Strong,,Active,,"| 72% verb: Past tense of ""break""--fractured, split, stopped functioning,  caused a division or change; entered forcibly (1); escaped (3); interrupted  (1), etc.",72.0
BROOD,brood,brood,,Negativ,,,,,|,
BRUSH#2,brush,brush,,,,,,,|,
BUBBLE#2,bubble,bubbl,,,,,,,|,
BUCKLE,buckle,buckl,,Negativ,,Weak,,Passive,|,
BUG#2,bug,bug,,Negativ,,,,,|,
BUILD#1,build,build,,,,,Active,,"| 53% verb: To construct, frame, or raise a structure by fitting together  separate parts",53.0
BUILD#4,build,build,,,Strong,,Active,,"| 14% idiom-verb: ""Build up""--to strengthen, or increase, either quantitatively  or qualitatively",14.0
BUNGLE,bungle,bungl,,Negativ,,Weak,,,|,
BURDEN#2,burden,burden,,Negativ,,Weak,,,|,
BURN#2,burn,burn,,Negativ,,,Active,,| 89% verb: To consume or injure with fire,89.0
BURST#2,burst,burst,,,Strong,,Active,,|,
BURY,bury,buri,,Negativ,,,Active,,"| verb: To inter, immerse, conceal",
BUSINESS#3,business,busi,,,,,,,"| 2% verb-idiom: 'mean business,' 'get down to business'--to be serious,  intend serious effort",2.0
BUY#1,buy,buy,,,,,Active,,| verb: To purchase,
CALCULATE#2,calculate,calcul,,,,,Active,,|,
CALM#2,calm,calm,Positiv,,,,,Passive,"| 38% verb: To quiet, become subdued",38.0
CAMP#2,camp,camp,,,,,Active,,"| 17% verb: To establish temporary lodging or shelter, to go into the woods",17.0
CAMPAIGN#2,campaign,campaign,,,,,Active,,| 5% verb: To strive for a goal,5.0
CAN'T,can't,can,,,,Weak,,,"| verb: Contraction of ""cannot""",
CANCEL,cancel,cancel,,Negativ,,,,,|,
CANNOT,cannot,can,,,,Weak,,,| verb: A form of can not.,
CANVAS#2,canvas,canva,,,,,Active,,|,
CAPITALIZE,capitalize,capit,Positiv,,Strong,,Active,,|,
CAPITULATE,capitulate,capitul,,Negativ,,Weak,,Passive,|,
CAPSIZE,capsize,capsiz,,Negativ,,,,,|,
CAPTURE#2,capture,captur,,Negativ,Strong,,Active,,|,
CARE#2,care,care,Positiv,,,,Active,,"| 41% verb: To be concerned with, to mind about, prefer, be solicitous of;  to provide for (much less frequen",41.0
CAREEN,careen,careen,,Negativ,,Weak,,Passive,|,
CARESS#2,caress,caress,Positiv,,,,,,|,
CARRY#1,carry,carri,,,Strong,,Active,,"| 75% verb: To transport, transmit, convey, bear; influence, get a majority  or plurality (much less frequent)",75.0
CARRY#3,carry,carri,,,,,Active,,| 10% idiom-verb: 'carry on'--to manage or continue to manage; to behave  extravagantly (2),10.0
CASE#2,case,case,,,,,,,| 0% verb: To examine or survey in planning a crime,0.0
CASH#2,cash,cash,,,,,,,|,
CAST#1,cast,cast,,,,,Active,,"| 64% verb: To throw, project; to aim (of eyes) (2)",64.0
CASTRATE,castrate,castrat,,,,,,,,
CATCH#1,catch,catch,,,Strong,,Active,,"| 88% verb: To capture, ensnare, get hold of; attract (1); contract (disease)  (1); to absorb as to hear and understand (0)",88.0
CAUGHT#1,caught,catch,,,Strong,,Active,,"| 96% verb: Past tense of ""catch""--to have captured, ensnared, attracted  (0); contracted (0); to have absorbed, as to hear and understand (0)",96.0
CAUSE#1,cause,caus,,,Strong,,Active,,| 44% verb: To produce as an effect,44.0
CAUTION#2,caution,caution,,,,,,,|,
CAVE#2,cave,cave,,Negativ,,Weak,,Passive,"| 5% idiom-verb: ""Cave in""--collapse",5.0
CEASE,cease,ceas,,,,Weak,,Passive,|,
CELEBRATE,celebrate,celebr,Positiv,,,,Active,,|,
CEMENT#2,cement,cement,,,Strong,,,,|,
CENSOR,censor,censor,,Negativ,,,Active,,|,
CENSURE,censure,censur,,Negativ,,,Active,,|,
CENTER#2,center,center,,,Strong,,,,| 22% verb: To focus on or at ('attention centers around him'),22.0
CERTIFY,certify,certifi,,,,,,,|,
CHAIN#2,chain,chain,,,,,,,|,
CHALLENGE#2,challenge,challeng,,Negativ,Strong,,Active,,| 19% verb: To confront with a contest or problem,19.0
CHANCE#3,chance,chanc,,,,,,Passive,| 4% verb: To happen or occur without plan or intent,4.0
CHANGE#1,change,chang,,,,,Active,,"| 59% verb: To alter, modify, convert, transform",59.0
CHANNEL#2,channel,channel,,,,,,,|,
CHARACTERIZE,characterize,character,,,,,,,|,
CHARGE#5,charge,charg,,,,,Active,,"| 13% verb: To ask payment, to buy with deferred payment",13.0
CHARM#2,charm,charm,Positiv,,,,,,|,
CHART#2,chart,chart,,,,,Active,,|,
CHARTER#2,charter,charter,,,,,,,|,
CHASE#2,chase,chase,,Negativ,,,Active,,"| 97% verb: To pursue, to hunt",97.0
CHASTISE,chastise,chastis,,Negativ,,,Active,,|,
CHATTER#2,chatter,chatter,,,,,,,|,
CHEAPEN,cheapen,cheapen,,Negativ,,Weak,Active,,|,
CHEAT#2,cheat,cheat,,,,,,,|,
CHECK#2,check,check,,,,,Active,,"| 45% verb: To investigate, verify, restrain",45.0
CHEER,cheer,cheer,Positiv,,,,Active,,|,
CHERISH#2,cherish,cherish,Positiv,,,,,Passive,|,
CHIDE,chide,chide,,Negativ,,,Active,,|,
CHILL#2,chill,chill,,,,,,,|,
CHIP#2,chip,chip,,,,,,,|,
CHOKE#2,choke,choke,,Negativ,,Weak,,,|,
CHOOSE,choose,choos,,,,,,Passive,| verb: To make a choice,
CHOSE,chose,choos,,,,,,Passive,|,
CHOSEN#1,chosen,choos,,,,,,Passive,| 88% verb: Past tense of 'choose'--selected,88.0
CHUCKLE#2,chuckle,chuckl,,,,,,Passive,|,
CIRCLE#2,circle,circl,,,Strong,,Active,,"| 14% verb: To encircle, to move in a circle",14.0
CIRCULATE,circulate,circul,,,,,,,,
CITE#2,cite,cite,,,,,,,|,
CIVILIZE#2,civilize,civil,Positiv,,,,,,|,
CLAIM#2,claim,claim,,,,,,,|,
CLARIFY,clarify,clarifi,Positiv,,,,Active,,|,
CLASH,clash,clash,,Negativ,,,Active,,|,
CLASSIFY#2,classify,classifi,,,,,Active,,|,
CLEAN#3,clean,clean,Positiv,,,,Active,,"| 33% verb: To cleanse, wash, clear away",33.0
CLEANSE,cleanse,cleans,Positiv,,,,Active,,|,
CLEAR#5,clear,clear,Positiv,,,,,,"| 13% verb: To make or become free of obstructions, blemishes or obscurity;  to pass by, over, through or away from (0)",13.0
CLICK#2,click,click,,,,,,,|,
CLIMB,climb,climb,,,Strong,,Active,,"| verb: To move upward, to ascend.",
CLING,cling,cling,,,,Weak,Active,,|,
CLOCK#2,clock,clock,,,,,,,| 0% verb: To measure speed,0.0
CLOG,clog,clog,,Negativ,,,,Passive,|,
CLOSE#2,close,close,,Negativ,,,Active,,"| 17% verb: To stop or obstruct, make imperceptible, inaccessible--to shut,  to come or bring t",17.0
CLOTHE#2,clothe,cloth,,,,,,,| 5% verb: To provide with clothing--to dress,5.0
CLUB#3,club,club,,Negativ,Strong,,Active,,"| 5% verb: To beat with, or as with, a club",5.0
CLUNG,clung,clung,,,,Weak,Active,,|,
CLUSTER#2,cluster,cluster,,,Strong,,,,|,
CO-ORDINATE,co-ordinate,co,,,,,,,,
COACH#2,coach,coach,,,,,Active,,|,
COAST#2,coast,coast,,,,,,Passive,|,
COAT#2,coat,coat,,,,,,,|,
COAX,coax,coax,Positiv,,,,Active,,|,
CODDLE,coddle,coddl,Positiv,,,,Active,,|,
CODE#2,code,code,,,,,,,|,
COERCE,coerce,coerc,,Negativ,,,Active,,|,
COINCIDE,coincide,coincid,,,,,,Passive,|,
COLLABORATE,collaborate,collabor,Positiv,,,,Active,,|,
COLLAPSE#2,collapse,collaps,,Negativ,,Weak,,Passive,|,
COLLAR#2,collar,collar,,,Strong,,Active,,|,
